Date,Open,High,Low,Close,Volume,Adj Close
2011-02-28,132.82,133.69,130.35,132.47,210822100,123.28
2011-02-22,133.12,134.56,129.70,132.33,215704600,123.15
2011-02-14,133.03,134.69,132.32,134.53,118252500,125.20
2011-02-07,131.44,133.28,131.30,133.11,131673400,123.88
2011-01-31,128.07,131.20,127.75,131.15,143057700,122.05
2011-01-24,128.29,130.35,127.51,127.72,168297800,118.86
2011-01-18,129.18,129.64,127.13,128.37,148392000,119.47
2011-01-10,126.58,129.33,126.20,129.30,117468800,120.33
2011-01-03,126.71,127.83,125.70,127.14,137732700,118.32
2010-12-27,125.13,126.20,125.04,125.75,67860800,117.03
2010-12-20,124.64,125.82,123.98,125.60,90745700,116.89
2010-12-13,125.05,125.23,123.75,124.30,153599100,115.68
2010-12-06,122.63,124.60,122.41,124.48,137785500,115.24
2010-11-29,118.50,123.03,117.74,122.89,204222500,113.77
2010-11-22,119.69,120.24,117.99,118.80,154930900,109.98
2010-11-15,120.58,121.05,117.59,120.29,198078500,111.36
2010-11-08,122.34,122.95,119.65,120.20,192240500,111.28
2010-11-01,119.07,122.92,117.85,122.72,190963400,113.61
2010-10-25,119.14,119.76,117.26,118.49,162606800,109.70
2010-10-18,117.74,119.09,116.02,118.35,190331800,109.57
2010-10-11,116.72,118.55,115.65,117.70,188224900,108.96
2010-10-04,114.37,116.86,113.18,116.54,177406800,107.89
2010-09-27,114.86,115.79,113.18,114.61,195876100,106.10
2010-09-20,112.88,114.90,112.18,114.82,217258500,106.30
2010-09-13,112.58,113.29,111.98,112.49,190547000,104.14
2010-09-07,110.37,111.68,109.55,111.48,141683700,102.66
2010-08-30,106.58,110.99,104.49,110.89,213261800,102.11
2010-08-23,108.04,108.57,104.29,106.86,242698200,98.40
2010-08-16,107.57,110.39,106.75,107.53,195729900,99.02
2010-08-09,112.92,113.18,107.60,108.31,207072900,99.74
2010-08-02,111.99,113.11,110.92,112.39,174658800,103.49
2010-07-26,110.60,112.29,108.98,110.27,198515400,101.54
2010-07-19,107.05,110.57,105.82,110.41,241240100,101.67
2010-07-12,107.60,110.09,106.45,106.66,208753500,98.22
2010-07-06,103.64,107.97,101.88,107.96,216636600,99.42
2010-06-28,108.03,108.32,101.13,102.20,288655900,94.11
2010-06-21,113.12,113.20,106.77,107.87,242877200,99.33
2010-06-14,110.52,112.42,109.40,111.73,219806200,102.89
2010-06-07,107.20,109.75,104.65,109.68,284485100,100.52
2010-06-01,108.35,111.06,106.46,106.82,285811700,97.90
2010-05-24,108.52,110.80,104.38,109.37,322970300,100.24
2010-05-17,114.20,115.22,105.36,109.11,422473400,100.00
2010-05-10,115.81,117.68,112.87,113.89,305934000,104.38
2010-05-03,119.38,120.68,105.00,111.26,431397900,101.97
2010-04-26,121.85,122.12,118.25,118.81,252752100,108.89
2010-04-19,119.01,121.86,118.47,121.81,172252300,111.64
2010-04-12,119.70,121.57,118.75,119.36,181666700,109.39
2010-04-05,118.25,119.60,117.60,119.55,138503700,109.57
2010-03-29,117.17,118.25,116.61,117.80,150644900,107.96
2010-03-22,115.31,118.17,115.24,116.58,198539300,106.84
2010-03-15,115.26,117.48,114.60,115.97,183221600,106.29
2010-03-08,114.26,115.97,113.87,115.46,155628500,105.38
2010-03-01,111.20,114.34,111.17,114.25,154275200,104.28
2010-02-22,111.55,111.58,108.94,110.74,189883700,101.08
2010-02-16,108.86,111.57,107.82,111.14,186139000,101.44
2010-02-08,106.74,108.25,105.81,108.04,266142500,98.61
2010-02-01,108.15,110.59,104.58,106.66,285445000,97.35
2010-01-25,110.21,110.47,107.22,107.39,259350300,98.02
2010-01-19,113.62,115.13,109.09,109.21,261616200,99.68
2010-01-11,115.08,115.14,113.20,113.64,151906600,103.72
2010-01-04,112.37,114.62,111.51,114.57,120818500,104.57
2009-12-28,112.90,113.03,111.39,111.44,82964300,101.71
2009-12-21,110.76,112.60,110.76,112.48,90301900,102.66
2009-12-14,111.87,112.13,109.28,110.21,148177900,100.59
2009-12-07,110.91,111.53,109.02,111.11,143153900,100.87
2009-11-30,109.48,112.38,108.12,111.01,179007200,100.78
2009-11-23,110.72,111.74,108.29,109.57,130499200,99.47
2009-11-16,110.38,111.69,109.01,109.43,171494700,99.35
2009-11-09,107.95,110.82,107.87,109.62,161793800,99.52
2009-11-02,104.13,107.40,103.08,107.13,216310300,97.26
2009-10-26,108.20,109.31,103.44,103.56,253566900,94.02
2009-10-19,109.07,110.31,107.50,108.08,208861600,98.12
2009-10-12,107.76,109.71,106.76,108.89,166617600,98.86
2009-10-05,102.90,107.26,102.60,107.26,165976100,97.38
2009-09-28,104.85,107.02,101.99,102.49,202598400,93.05
2009-09-21,105.89,108.03,104.09,104.45,190732300,94.82
2009-09-14,103.88,108.06,103.15,106.72,187153200,96.89
2009-09-08,103.00,105.30,102.39,104.77,150696000,94.66
2009-08-31,102.37,103.24,99.57,102.06,191078700,92.22
2009-08-24,103.39,104.35,101.94,103.38,188892900,93.41
2009-08-17,98.85,103.13,98.11,102.97,200535600,93.04
2009-08-10,100.74,101.61,99.46,100.79,176663500,91.07
2009-08-03,99.85,102.03,99.31,101.20,190212500,91.44
2009-07-27,97.88,99.83,96.98,98.81,194655400,89.28
2009-07-20,94.68,98.14,94.19,98.06,198152800,88.60
2009-07-13,88.31,94.51,87.59,94.13,197903000,85.05
2009-07-06,88.94,89.93,87.00,87.96,191387300,79.48
2009-06-29,92.11,93.23,89.76,89.81,195680100,81.15
2009-06-22,91.14,92.24,88.85,91.84,219758200,82.98
2009-06-15,93.96,94.02,90.83,92.04,220467000,83.16
2009-06-08,93.84,96.11,93.04,95.08,243913400,85.43
2009-06-01,93.67,95.67,92.76,94.55,247358400,84.95
2009-05-26,88.36,93.70,88.32,92.53,257517700,83.14
2009-05-18,89.55,92.80,88.26,89.02,231814400,79.98
2009-05-11,91.70,92.11,88.15,88.71,266315000,79.70
2009-05-04,88.55,93.22,88.38,92.98,287781400,83.54
2009-04-27,85.68,89.02,84.76,87.89,277308700,78.97
2009-04-20,85.54,87.31,82.75,86.66,272156500,77.86
2009-04-13,84.92,87.65,83.61,87.08,270004800,78.24
2009-04-06,83.34,85.82,81.51,85.81,255967600,77.10
2009-03-30,79.80,84.61,77.96,84.26,365248400,75.70
2009-03-23,78.74,83.30,78.31,81.61,387267300,73.32
2009-03-16,76.96,81.00,75.45,76.71,398066200,68.92
2009-03-09,67.95,76.98,67.73,76.09,377991700,67.88
2009-03-02,72.52,73.92,67.10,68.92,461797200,61.48
2009-02-23,78.27,79.67,73.81,73.93,420350500,65.95
2009-02-17,80.16,82.96,75.77,77.42,408979700,69.06
2009-02-09,86.96,87.74,81.05,82.76,372806200,73.83
2009-02-02,81.57,87.34,77.73,86.98,334677900,77.59
2009-01-26,83.59,87.95,82.21,82.83,319910300,73.89
2009-01-20,84.23,85.06,80.05,83.11,399739200,74.14
2009-01-12,88.84,88.91,81.72,85.06,400333300,75.88
2009-01-05,92.63,94.45,85.36,89.09,288859500,79.48
2008-12-29,87.24,93.44,85.60,92.96,179401400,82.93
2008-12-22,88.58,88.67,85.49,87.16,150553500,77.75
2008-12-15,89.02,92.43,86.29,88.19,318467600,78.67
2008-12-08,90.34,92.38,85.20,88.99,391991600,78.75
2008-12-01,87.51,88.42,81.86,87.93,455075600,77.81
2008-11-24,81.92,90.13,80.36,90.09,366465000,79.72
2008-11-17,86.38,88.56,74.34,79.52,606022200,70.37
2008-11-10,95.21,95.53,82.09,86.62,493619200,76.65
2008-11-03,96.78,100.86,90.06,93.86,359633900,83.06
2008-10-27,85.97,98.57,83.70,96.83,478894800,85.68
2008-10-20,95.35,99.10,84.00,87.04,474888600,77.02
2008-10-13,93.87,105.53,86.54,93.21,534388000,82.48
2008-10-06,107.15,107.62,83.58,88.50,656315100,78.31
2008-09-29,119.14,119.34,109.68,110.34,389527100,97.64
2008-09-22,124.45,124.75,117.79,120.85,300685100,106.94
2008-09-15,121.63,128.00,113.80,124.12,593329800,109.83
2008-09-08,128.04,128.24,121.60,126.09,342707800,110.93
2008-09-02,130.03,130.71,122.00,124.42,283464400,109.47
2008-08-25,128.80,130.34,126.58,128.79,171763900,113.31
2008-08-18,130.43,130.48,126.34,129.65,188154400,114.07
2008-08-11,129.47,131.51,127.67,130.17,227915100,114.52
2008-08-04,126.04,129.93,124.76,129.37,231299300,113.82
2008-07-28,125.51,128.60,123.42,126.16,269501900,111.00
2008-07-21,126.51,129.15,124.85,125.48,259846200,110.40
2008-07-14,125.26,126.42,120.02,125.98,367877300,110.84
2008-07-07,126.79,127.74,122.49,123.84,400546100,108.96
2008-06-30,127.89,129.16,124.99,126.31,293720400,111.13
2008-06-23,132.09,133.40,127.04,127.53,264289800,112.20
2008-06-16,135.55,137.12,131.22,131.58,247382700,115.76
2008-06-09,136.86,137.50,133.52,136.15,253981500,119.19
2008-06-02,139.83,140.89,136.22,136.29,264363300,119.31
2008-05-27,137.80,140.93,137.53,140.35,160225000,122.87
2008-05-19,142.81,144.30,137.52,137.64,189827600,120.49
2008-05-12,139.25,142.87,138.73,142.66,172014500,124.89
2008-05-05,141.05,142.20,138.45,138.90,165604200,121.60
2008-04-28,139.88,142.37,138.26,141.51,161677000,123.88
2008-04-21,138.23,139.89,136.90,139.60,178846300,122.21
2008-04-14,133.19,139.56,132.33,138.48,184075200,121.23
2008-04-07,137.87,138.57,133.01,133.38,182946900,116.76
2008-03-31,131.29,137.96,131.09,136.89,202496300,119.84
2008-03-24,133.31,135.81,131.06,131.51,200981600,115.13
2008-03-17,126.57,134.65,126.07,132.08,332755000,115.63
2008-03-10,129.84,133.77,127.59,129.61,328495400,112.91
2008-03-03,133.14,134.77,128.58,129.71,263404800,112.99
2008-02-25,135.54,139.14,132.78,133.82,198893900,116.57
2008-02-19,136.72,137.01,132.86,135.62,192954400,118.14
2008-02-11,133.10,137.06,132.04,135.14,199303200,117.72
2008-02-04,139.21,139.30,131.73,133.07,236276200,115.92
2008-01-28,133.26,139.61,132.06,139.58,254473300,121.59
2008-01-22,127.21,136.76,126.00,133.04,369347400,115.89
2008-01-14,141.16,141.86,131.10,132.06,307112400,115.04
2008-01-07,141.81,142.90,137.70,140.15,293191800,122.09
2007-12-31,147.10,147.61,140.91,141.31,167631600,123.10
2007-12-24,148.82,149.68,146.90,147.30,88018500,128.32
2007-12-17,146.61,148.42,143.96,148.13,196530800,129.04
2007-12-10,151.28,152.89,147.10,147.17,218680100,127.53
2007-12-03,148.19,151.50,146.31,150.91,151506300,130.77
2007-11-26,144.43,149.87,140.66,148.66,237808900,128.82
2007-11-19,145.28,145.53,141.67,144.13,254803500,124.89
2007-11-12,145.21,149.40,143.70,145.79,247329100,126.33
2007-11-05,149.64,152.11,144.89,145.14,272707200,125.77
2007-10-29,153.93,155.27,149.21,151.20,225009200,131.02
2007-10-22,148.86,153.62,148.66,153.62,236525500,133.11
2007-10-15,156.27,156.48,149.66,149.67,197980400,129.69
2007-10-08,155.39,157.52,154.54,156.33,125024300,135.46
2007-10-01,152.60,156.10,152.50,155.85,118328200,135.05
2007-09-24,152.42,153.19,150.47,152.58,130674500,132.21
2007-09-17,148.31,154.39,147.63,151.97,176810900,131.68
2007-09-10,146.52,149.45,144.33,148.90,155986400,128.41
2007-09-04,147.45,149.98,145.26,146.07,162412400,125.97
2007-08-27,147.85,148.50,143.46,147.59,183552800,127.29
2007-08-20,145.17,148.33,143.29,148.33,170072100,127.92
2007-08-13,146.50,146.89,137.00,144.71,340969500,124.80
2007-08-06,144.21,150.59,142.53,144.71,320223900,124.80
2007-07-30,145.93,149.46,143.20,143.80,344364100,124.02
2007-07-23,154.18,154.72,145.05,145.11,306742100,125.15
2007-07-16,154.99,155.53,152.83,153.50,170636500,132.38
2007-07-09,153.16,155.46,150.52,154.85,134799000,133.55
2007-07-02,150.87,153.17,150.77,152.98,81948300,131.93
2007-06-25,150.24,151.65,148.06,150.43,200300900,129.73
2007-06-18,153.38,153.58,149.85,150.55,157347100,129.84
2007-06-11,150.93,153.66,149.55,153.07,165909800,132.01
2007-06-04,153.54,154.39,149.06,151.04,155464800,129.70
2007-05-29,151.94,154.40,151.34,154.08,108418000,132.31
2007-05-21,152.58,153.50,150.74,151.69,132300400,130.26
2007-05-14,150.86,152.62,149.79,152.62,120636400,131.06
2007-05-07,150.88,152.82,149.27,150.86,102628400,129.55
2007-04-30,149.64,151.12,147.67,150.92,101065000,129.60
2007-04-23,148.37,149.80,147.32,149.53,99418600,128.40
2007-04-16,145.83,148.62,145.82,148.62,101379100,127.62
2007-04-09,144.65,145.32,143.34,145.32,82754900,124.79
2007-04-02,142.16,144.44,141.48,144.24,68163000,123.86
2007-03-26,143.50,143.65,140.56,142.00,126837300,121.94
2007-03-19,139.26,143.81,139.15,143.39,104807200,123.13
2007-03-12,140.42,141.34,136.75,138.53,151358600,118.96
2007-03-05,137.93,141.42,137.33,140.78,125577000,120.41
2007-02-26,145.83,145.95,138.05,138.67,179319600,118.61
2007-02-20,145.56,146.42,145.00,145.30,67979200,124.28
2007-02-12,143.94,145.95,143.19,145.73,54867000,124.65
2007-02-05,144.70,145.36,143.39,143.94,61636300,123.12
2007-01-29,142.19,144.95,141.74,144.81,69462000,123.86
2007-01-22,143.07,143.98,141.58,142.13,62198400,121.57
2007-01-16,143.07,143.46,142.31,142.82,55065700,122.16
2007-01-08,140.82,143.24,140.25,143.24,65922100,122.52
2007-01-03,142.25,142.86,140.38,140.54,80357800,120.21
2006-12-26,140.81,142.70,140.78,141.62,38793500,121.13
2006-12-18,142.54,142.88,140.67,140.75,53243000,120.39
2006-12-11,141.42,143.24,140.89,142.34,61672700,121.75
2006-12-04,140.25,142.30,140.23,141.42,71384700,120.29
2006-11-27,140.28,141.05,138.11,140.22,98261400,119.27
2006-11-20,140.30,141.16,139.94,140.35,49261300,119.38
2006-11-13,138.18,140.68,138.07,140.42,73138800,119.44
2006-11-06,136.96,139.14,136.86,138.24,71809500,117.59
2006-10-30,137.66,138.31,135.62,136.54,67207400,116.14
2006-10-23,136.56,139.00,136.39,137.91,68928300,117.31
2006-10-16,136.52,137.37,135.67,136.84,66355900,116.39
2006-10-09,134.85,136.71,134.30,136.63,62950900,116.22
2006-10-02,133.54,135.41,132.65,135.01,66235100,114.84
2006-09-25,131.73,133.99,131.05,133.58,71051600,113.62
2006-09-18,131.79,132.77,131.00,131.47,77269300,111.83
2006-09-11,129.86,132.45,129.48,131.96,67155800,112.24
2006-09-05,131.51,131.85,129.35,130.28,59377400,110.33
2006-08-28,129.65,131.58,129.64,131.42,50171200,111.30
2006-08-21,130.18,130.52,129.19,129.81,53860900,109.93
2006-08-14,127.63,130.69,126.92,130.69,65400100,110.68
2006-08-07,127.90,128.60,126.28,127.01,66398700,107.56
2006-07-31,127.66,129.43,126.60,128.20,67915500,108.57
2006-07-24,124.44,128.14,124.44,127.98,88456900,108.38
2006-07-17,123.52,126.30,122.39,123.95,110263000,104.97
2006-07-10,126.94,127.43,122.83,123.52,84562800,104.60
2006-07-03,127.43,128.01,126.29,126.61,56323500,107.22
2006-06-26,124.54,127.66,123.65,127.28,66982100,107.79
2006-06-19,125.40,125.70,123.55,124.44,72996000,105.38
2006-06-12,125.88,126.36,122.34,124.65,134676300,105.56
